代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
688210,统联精密,0.5165,46.16,45.88,-0.61,负
688591,XD泰凌微,0.5164,33.52,33.01,-1.52,负
603132,金徽股份,0.5162,17.42,17.3,-0.69,负
605208,永茂泰,0.5162,15.76,15.86,0.63,胜
688697,纽威数控,0.516,15.07,15.12,0.33,胜
000811,冰轮环境,0.5153,36.52,40.17,9.99,胜
301387,光大同创,0.5153,108.51,107.85,-0.61,负
002520,日发精机,0.5147,6.89,6.86,-0.44,负
688802,沐曦股份-U,0.5145,732.5,732.5,0.0,平
688419,耐科装备,0.5142,67.6,68.11,0.75,胜
002795,永和智控,0.5133,7.5,7.51,0.13,胜
600783,鲁信创投,0.5133,19.93,19.86,-0.35,负
300862,蓝盾光电,0.5125,21.98,21.76,-1.0,负
688486,龙迅股份,0.5124,53.65,54.88,2.29,胜
603700,宁水集团,0.5116,10.75,10.63,-1.12,负
300990,同飞股份,0.5116,93.59,93.27,-0.34,负
301051,信濠光电,0.5112,16.23,16.31,0.49,胜
300817,双飞集团,0.5107,17.75,17.66,-0.51,负
301272,英华特,0.5099,36.26,36.26,0.0,平
301389,隆扬电子,0.5096,103.0,101.0,-1.94,负
688449,联芸科技,0.5087,75.1,75.0,-0.13,负
688409,富创精密,0.5086,200.8,201.0,0.1,胜
300700,岱勒新材,0.5085,22.68,22.46,-0.97,负
301255,通力科技,0.5084,23.83,23.62,-0.88,负
001379,腾达科技,0.5077,16.88,16.72,-0.95,负
300623,捷捷微电,0.5064,36.87,36.5,-1.0,负
000612,焦作万方,0.5062,10.97,11.0,0.27,胜
600203,福日电子,0.5058,12.63,12.55,-0.63,负
301032,新柴股份,0.5054,10.4,10.35,-0.48,负
300822,贝仕达克,0.5051,13.1,13.01,-0.69,负
001237,惠康科技,0.505,64.12,64.33,0.33,胜
300843,胜蓝股份,0.5044,120.6,121.63,0.85,胜
300441,鲍斯股份,0.5041,6.07,6.1,0.49,胜
688325,赛微微电,0.504,141.96,141.95,-0.01,负
