代码,名称,类型
sz.300053,航宇微,个股
sz.300054,鼎龙股份,个股
sz.300055,万邦达,个股
sz.300056,中创环保,个股
sz.300057,万顺新材,个股
sz.300058,蓝色光标,个股
sz.300059,东方财富,个股
sz.300061,旗天科技,个股
sz.300062,中能电气,个股
sz.300063,天龙集团,个股
sz.300065,海兰信,个股
sz.300066,三川智慧,个股
sz.300067,安诺其,个股
sz.300068,ST南都,个股
sz.300069,金利华电,个股
sz.300070,碧水源,个股
sz.300071,福石控股,个股
sz.300072,海新能科,个股
sz.300073,当升科技,个股
sz.300074,华平股份,个股
sz.300075,数字政通,个股
sz.300076,*ST宁视,个股
sz.300077,国民技术,个股
sz.300078,思创智联,个股
sz.300079,数码视讯,个股
sz.300080,易成新能,个股
sz.300081,ST恒信,个股
sz.300082,奥克股份,个股
sz.300083,创世纪,个股
sz.300084,海默科技,个股
sz.300085,银之杰,个股
sz.300086,康芝药业,个股
sz.300087,ST荃银,个股
sz.300088,长信科技,个股
sz.300091,*ST金灵,个股
sz.300092,科新机电,个股
sz.300093,金刚光伏,个股
sz.300094,国联水产,个股
sz.300095,华伍股份,个股
sz.300096,ST易联众,个股
sz.300097,智云股份,个股
sz.300098,高新兴,个股
sz.300099,尤洛卡,个股
sz.300100,双林股份,个股
sz.300101,振芯科技,个股
sz.300102,乾照光电,个股
sz.300103,达刚控股,个股
sz.300105,龙源技术,个股
sz.300106,西部牧业,个股
sz.300107,建新股份,个股
sz.300109,新开源,个股
sz.300110,华仁药业,个股
sz.300111,向日葵,个股
sz.300112,万讯自控,个股
sz.300113,顺网科技,个股
sz.300115,长盈精密,个股
sz.300118,东方日升,个股
sz.300119,瑞普生物,个股
sz.300120,经纬辉开,个股
sz.300121,阳谷华泰,个股
sz.300122,智飞生物,个股
sz.300123,ST亚光,个股
sz.300124,汇川技术,个股
sz.300125,*ST聆达,个股
sz.300126,锐奇股份,个股
sz.300127,银河磁体,个股
sz.300128,锦富技术,个股
sz.300129,泰胜风能,个股
sz.300130,新国都,个股
sz.300131,英唐智控,个股
sz.300132,青松股份,个股
sz.300133,华策影视,个股
sz.300134,大富科技,个股
sz.300135,宝利国际,个股
sz.300136,信维通信,个股
sz.300137,先河环保,个股
sz.300138,晨光生物,个股
sz.300139,晓程科技,个股
sz.300140,节能环境,个股
sz.300141,和顺电气,个股
sz.300142,沃森生物,个股
sz.300143,盈康生命,个股
sz.300144,宋城演艺,个股
sz.300145,南方泵业,个股
sz.300146,汤臣倍健,个股
sz.300147,*ST香雪,个股
sz.300148,天舟文化,个股
sz.300149,睿智医药,个股
sz.300150,世纪瑞尔,个股
sz.300151,昌红科技,个股
sz.300152,*ST动力,个股
sz.300153,科泰电源,个股
sz.300154,瑞凌股份,个股
sz.300155,安居宝,个股
sz.300157,新锦动力,个股
sz.300158,振东制药,个股
sz.300159,新研股份,个股
sz.300160,秀强股份,个股
sz.300161,华中数控,个股
sz.300162,雷曼光电,个股
sz.300163,先锋新材,个股
sz.300164,通源石油,个股
sz.300165,天瑞仪器,个股
sz.300166,东方国信,个股
sz.300167,ST迪威迅,个股
sz.300168,万达信息,个股
sz.300169,天晟新材,个股
sz.300170,汉得信息,个股
sz.300171,东富龙,个股
sz.300172,中电环保,个股
sz.300173,ST福能,个股
sz.300174,元力股份,个股
sz.300175,朗源股份,个股
sz.300176,鸿特科技,个股
sz.300177,中海达,个股
sz.300179,四方达,个股
sz.300180,华峰超纤,个股
sz.300181,佐力药业,个股
sz.300182,捷成股份,个股
sz.300183,东软载波,个股
sz.300184,力源信息,个股
sz.300185,通裕重工,个股
sz.300187,永清环保,个股
sz.300188,国投智能,个股
sz.300189,神农种业,个股
sz.300190,维尔利,个股
sz.300191,潜能恒信,个股
sz.300192,科德教育,个股
sz.300193,佳士科技,个股
sz.300194,福安药业,个股
sz.300195,长荣股份,个股
sz.300196,长海股份,个股
sz.300197,节能铁汉,个股
sz.300198,*ST纳川,个股
sz.300199,翰宇药业,个股
sz.300200,高盟新材,个股
sz.300201,海伦哲,个股
sz.300203,聚光科技,个股
sz.300204,舒泰神,个股
sz.300205,*ST天喻,个股
sz.300206,理邦仪器,个股
sz.300207,欣旺达,个股
sz.300209,行云科技,个股
sz.300210,森远股份,个股
sz.300211,*ST亿通,个股
sz.300212,*ST易录,个股
sz.300213,佳讯飞鸿,个股
sz.300215,电科院,个股
sz.300217,东方电热,个股
sz.300218,安利股份,个股
sz.300219,鸿利智汇,个股
sz.300220,金运激光,个股
sz.300221,银禧科技,个股
sz.300222,科大智能,个股
sz.300223,北京君正,个股
sz.300224,正海磁材,个股
sz.300225,金力泰,个股
sz.300226,上海钢联,个股
sz.300227,光韵达,个股
sz.300228,富瑞特装,个股
sz.300229,拓尔思,个股
sz.300230,永利股份,个股
sz.300231,银信科技,个股
sz.300232,洲明科技,个股
sz.300233,金城医药,个股
sz.300234,开尔新材,个股
sz.300235,方直科技,个股
sz.300236,上海新阳,个股
sz.300237,ST美晨,个股
sz.300238,冠昊生物,个股
sz.300239,东宝生物,个股
sz.300240,飞力达,个股
sz.300241,瑞丰光电,个股
sz.300242,佳云科技,个股
sz.300243,瑞丰高材,个股
sz.300244,迪安诊断,个股
sz.300245,ST天玑,个股
sz.300246,宝莱特,个股
sz.300247,融捷健康,个股
sz.300248,新开普,个股
sz.300249,依米康,个股
sz.300250,初灵信息,个股
sz.300251,光线传媒,个股
sz.300252,金信诺,个股
sz.300253,卫宁健康,个股
sz.300254,仟源医药,个股
sz.300255,常山药业,个股
sz.300256,星星科技,个股
sz.300257,开山股份,个股
sz.300258,精锻科技,个股
sz.300259,新天科技,个股
sz.300260,新莱应材,个股
sz.300261,雅本化学,个股
sz.300263,隆华科技,个股
sz.300264,佳创视讯,个股
sz.300265,通光线缆,个股
sz.300266,兴源环境,个股
sz.300267,尔康制药,个股
sz.300268,佳沃食品,个股
sz.300269,联建光电,个股
sz.300270,中威电子,个股
sz.300271,华宇软件,个股
sz.300272,开能健康,个股
sz.300274,阳光电源,个股
sz.300275,梅安森,个股
sz.300276,三丰智能,个股
sz.300277,汽轮科技,个股
sz.300278,华昌达,个股
sz.300279,和晶科技,个股
sz.300281,金明精机,个股
sz.300283,温州宏丰,个股
sz.300284,苏交科,个股
sz.300285,国瓷材料,个股
sz.300286,安科瑞,个股
sz.300287,飞利信,个股
sz.300288,朗玛信息,个股
sz.300289,利德曼,个股
sz.300290,ST荣科,个股
sz.300291,百纳千成,个股
sz.300292,吴通控股,个股
sz.300293,蓝英装备,个股
sz.300294,博雅生物,个股
sz.300295,*ST三六五,个股
sz.300296,利亚德,个股
sz.300298,三诺生物,个股
sz.300299,富春股份,个股
sz.300300,海峡创新,个股
sz.300301,ST长方,个股
sz.300302,同有科技,个股
sz.300303,聚飞光电,个股
sz.300304,云意电气,个股
sz.300305,裕兴股份,个股
sz.300306,远方信息,个股
sz.300307,慈星股份,个股
sz.300308,中际旭创,个股
sz.300310,宜通世纪,个股
sz.300311,ST任子行,个股
sz.300313,天山生物,个股
sz.300314,戴维医疗,个股
sz.300315,掌趣科技,个股
sz.300316,晶盛机电,个股
sz.300317,珈伟新能,个股
sz.300318,博晖创新,个股
sz.300319,麦捷科技,个股
sz.300320,海达股份,个股
sz.300321,同大股份,个股
sz.300322,硕贝德,个股
sz.300323,华灿光电,个股
sz.300324,旋极信息,个股
sz.300326,ST凯利,个股
sz.300327,中颖电子,个股
sz.300328,宜安科技,个股
sz.300329,海伦钢琴,个股
sz.300331,苏大维格,个股
sz.300333,兆日科技,个股
sz.300334,津膜科技,个股
sz.300335,迪森股份,个股
sz.300337,银邦股份,个股
sz.300338,*ST开元,个股
sz.300339,润和软件,个股
sz.300340,科恒股份,个股
sz.300341,麦克奥迪,个股
sz.300342,天银机电,个股
sz.300343,联创股份,个股
sz.300345,华民股份,个股
sz.300346,南大光电,个股
sz.300347,泰格医药,个股
sz.300348,长亮科技,个股
sz.300349,金卡智能,个股
sz.300350,华鹏飞,个股
sz.300351,永贵电器,个股
sz.300352,ST信源,个股
sz.300353,东土科技,个股
sz.300354,东华测试,个股
sz.300355,蒙草生态,个股
sz.300357,我武生物,个股
sz.300358,楚天科技,个股
sz.300359,全通教育,个股
sz.300360,炬华科技,个股
sz.300363,博腾股份,个股
sz.300364,中文在线,个股
sz.300365,恒华科技,个股
sz.300366,ST创意,个股
sz.300368,汇金股份,个股
sz.300369,绿盟科技,个股
sz.300370,安控科技,个股
sz.300371,汇中股份,个股
sz.300373,扬杰科技,个股
sz.300374,中铁装配,个股
sz.300375,鹏翎股份,个股
sz.300376,易事特,个股
sz.300377,赢时胜,个股
sz.300378,鼎捷数智,个股
sz.300380,安硕信息,个股
sz.300381,溢多利,个股
sz.300382,斯莱克,个股
sz.300383,光环新网,个股
sz.300384,三联虹普,个股
sz.300385,ST雪浪,个股
sz.300386,飞天诚信,个股
sz.300387,富邦科技,个股
sz.300388,节能国祯,个股
sz.300389,艾比森,个股
sz.300390,天华新能,个股
sz.300393,中来股份,个股
sz.300394,天孚通信,个股
sz.300395,菲利华,个股
sz.300396,ST迪瑞,个股
sz.300397,天和防务,个股
sz.300398,飞凯材料,个股
sz.300399,天利科技,个股
sz.300400,劲拓股份,个股
sz.300401,花园生物,个股
sz.300402,宝色股份,个股
sz.300403,汉宇集团,个股
sz.300404,博济医药,个股
sz.300405,科隆股份,个股
sz.300406,九强生物,个股
sz.300407,凯发电气,个股
sz.300408,三环集团,个股
sz.300409,道氏技术,个股
sz.300410,正业科技,个股
sz.300411,金盾股份,个股
sz.300412,迦南科技,个股
sz.300413,芒果超媒,个股
sz.300414,中光防雷,个股
sz.300415,伊之密,个股
sz.300416,苏试试验,个股
sz.300417,南华仪器,个股
sz.300418,昆仑万维,个股
sz.300419,ST浩丰,个股
sz.300420,五洋自控,个股
sz.300421,力星股份,个股
sz.300422,博世科,个股
sz.300423,昇辉科技,个股
sz.300424,航新科技,个股
sz.300425,中建环能,个股
sz.300426,华智数媒,个股
sz.300427,红相股份,个股
sz.300428,立中集团,个股
sz.300429,强力新材,个股
sz.300430,*ST益通,个股
sz.300432,富临精工,个股
sz.300433,蓝思科技,个股
sz.300434,金石亚药,个股
sz.300435,中泰股份,个股
sz.300436,广生堂,个股
sz.300437,清水源,个股
sz.300438,鹏辉能源,个股
sz.300439,美康生物,个股
sz.300440,运达科技,个股
sz.300441,鲍斯股份,个股
sz.300442,润泽科技,个股
sz.300443,金雷股份,个股
sz.300444,双杰电气,个股
sz.300445,康斯特,个股
sz.300446,航天智造,个股
sz.300447,全信股份,个股
sz.300448,浩云科技,个股
sz.300449,汉邦高科,个股
sz.300450,先导智能,个股
sz.300451,创业慧康,个股
sz.300452,山河药辅,个股
sz.300453,三鑫医疗,个股
sz.300454,深信服,个股
sz.300455,航天智装,个股
sz.300456,赛微电子,个股
sz.300457,赢合科技,个股
sz.300458,全志科技,个股
sz.300459,汤姆猫,个股
sz.300460,ST惠伦,个股
sz.300461,田中精机,个股
sz.300462,ST华铭,个股
sz.300463,迈克生物,个股
sz.300464,星徽股份,个股
sz.300465,高伟达,个股
sz.300466,赛摩智能,个股
sz.300467,迅游科技,个股
sz.300468,四方精创,个股
sz.300469,信息发展,个股
sz.300470,中密控股,个股
sz.300471,厚普股份,个股
sz.300472,*ST新元,个股
sz.300473,德尔股份,个股
sz.300474,景嘉微,个股
sz.300475,香农芯创,个股
sz.300476,胜宏科技,个股
sz.300477,ST合纵,个股
sz.300478,杭州高新,个股
sz.300479,神思电子,个股
sz.300480,光力科技,个股
sz.300481,濮阳惠成,个股
sz.300482,万孚生物,个股
sz.300483,首华燃气,个股
sz.300484,蓝海华腾,个股
sz.300485,赛升药业,个股
sz.300486,东杰智能,个股
sz.300487,蓝晓科技,个股
sz.300488,恒锋工具,个股
sz.300489,光智科技,个股
sz.300490,华自科技,个股
sz.300491,通合科技,个股
sz.300492,华图山鼎,个股
sz.300493,润欣科技,个股
sz.300494,盛天网络,个股
sz.300496,中科创达,个股
sz.300497,富祥股份,个股
sz.300498,温氏股份,个股
sz.300499,高澜股份,个股
sz.300500,启迪设计,个股
sz.300501,海顺新材,个股
sz.300502,新易盛,个股
sz.300503,昊志机电,个股
sz.300504,天邑股份,个股
sz.300505,川金诺,个股
sz.300506,名家汇,个股
sz.300507,苏奥传感,个股
sz.300508,维宏股份,个股
sz.300509,新美星,个股
sz.300510,金冠股份,个股
sz.300511,雪榕生物,个股
sz.300512,中亚股份,个股
sz.300513,恒实科技,个股
sz.300514,友讯达,个股
sz.300515,三德科技,个股
sz.300516,久之洋,个股
sz.300517,海波重科,个股
sz.300518,新迅达,个股
sz.300519,新光药业,个股
sz.300520,科大国创,个股
sz.300521,爱司凯,个股
sz.300522,世名科技,个股
sz.300523,辰安科技,个股
sz.300525,博思软件,个股
sz.300527,ST应急,个股
sz.300528,幸福蓝海,个股
sz.300529,健帆生物,个股
sz.300530,领湃科技,个股
sz.300531,优博讯,个股
sz.300532,今天国际,个股
sz.300533,冰川网络,个股
sz.300534,陇神戎发,个股
sz.300535,达威股份,个股
sz.300536,农尚环境,个股
sz.300537,广信材料,个股
sz.300538,同益股份,个股
sz.300539,横河精密,个股
sz.300540,蜀道装备,个股
sz.300541,先进数通,个股
sz.300542,新晨科技,个股
sz.300543,朗科智能,个股
sz.300545,联得装备,个股
sz.300546,雄帝科技,个股
sz.300547,川环科技,个股
sz.300548,长芯博创,个股
sz.300549,优德精密,个股
sz.300550,和仁科技,个股
sz.300551,古鳌科技,个股
sz.300552,万集科技,个股
sz.300553,集智股份,个股
sz.300554,三超新材,个股
sz.300555,ST路通,个股
sz.300556,丝路视觉,个股
sz.300557,理工光科,个股
sz.300558,贝达药业,个股
sz.300559,佳发教育,个股
sz.300560,中富通,个股
sz.300561,汇金科技,个股
sz.300562,乐心医疗,个股
sz.300563,神宇股份,个股
sz.300564,筑博设计,个股
sz.300565,科信技术,个股
sz.300566,激智科技,个股
sz.300567,精测电子,个股
sz.300568,星源材质,个股
sz.300569,天能重工,个股
sz.300570,太辰光,个股
sz.300571,平治信息,个股
sz.300572,安车检测,个股
sz.300573,兴齐眼药,个股
sz.300575,中旗股份,个股
sz.300576,容大感光,个股
sz.300577,开润股份,个股
sz.300578,会畅科技,个股
sz.300579,数字认证,个股
sz.300580,贝斯特,个股
sz.300581,晨曦航空,个股
sz.300582,英飞特,个股
sz.300583,赛托生物,个股
sz.300584,海辰药业,个股
sz.300585,奥联电子,个股
sz.300586,美联新材,个股
sz.300587,天铁科技,个股
sz.300588,熙菱信息,个股
sz.300589,江龙船艇,个股
sz.300590,移为通信,个股
sz.300591,万里马,个股
sz.300592,华凯易佰,个股
sz.300593,新雷能,个股
sz.300594,ST朗进,个股
sz.300595,欧普康视,个股
sz.300596,利安隆,个股
sz.300597,吉大通信,个股
sz.300598,诚迈科技,个股
sz.300599,雄塑科技,个股
sz.300600,国瑞科技,个股
sz.300601,康泰生物,个股
sz.300602,飞荣达,个股
sz.300603,立昂技术,个股
sz.300604,长川科技,个股
sz.300605,恒锋信息,个股
sz.300606,金太阳,个股
sz.300607,拓斯达,个股
sz.300608,思特奇,个股
sz.300609,汇纳科技,个股
sz.300610,晨化股份,个股
sz.300611,美力科技,个股
sz.300612,宣亚国际,个股
sz.300613,富瀚微,个股
sz.300614,百川畅银,个股
sz.300615,欣天科技,个股
sz.300616,尚品宅配,个股
sz.300617,安靠智电,个股
sz.300618,寒锐钴业,个股
sz.300619,金银河,个股
sz.300620,光库科技,个股
sz.300621,维业股份,个股
sz.300622,博士眼镜,个股
sz.300623,捷捷微电,个股
sz.300624,万兴科技,个股
sz.300625,三雄极光,个股
sz.300626,华瑞股份,个股
sz.300627,华测导航,个股
sz.300628,亿联网络,个股
sz.300629,新劲刚,个股
sz.300631,久吾高科,个股
sz.300632,光莆股份,个股
sz.300633,开立医疗,个股
sz.300634,彩讯股份,个股
sz.300635,中达安,个股
sz.300636,同和药业,个股
sz.300637,扬帆新材,个股
sz.300638,广和通,个股
sz.300639,凯普生物,个股
sz.300640,德艺文创,个股
sz.300641,正丹股份,个股
sz.300642,透景生命,个股
sz.300643,万通智控,个股
sz.300644,南京聚隆,个股
sz.300645,正元智慧,个股
sz.300647,超频三,个股
sz.300648,星云股份,个股
sz.300649,杭州园林,个股
sz.300650,太龙股份,个股
sz.300651,金陵体育,个股
sz.300652,雷迪克,个股
sz.300653,正海生物,个股
sz.300654,世纪天鸿,个股
sz.300655,晶瑞电材,个股
sz.300656,民德电子,个股
sz.300657,弘信电子,个股
sz.300658,延江股份,个股
sz.300659,中孚信息,个股
sz.300660,江苏雷利,个股
sz.300661,圣邦股份,个股
sz.300662,科锐国际,个股
sz.300663,科蓝软件,个股
sz.300664,鹏鹞环保,个股
sz.300665,飞鹿股份,个股
sz.300666,江丰电子,个股
sz.300667,必创科技,个股
sz.300668,杰恩股份,个股
sz.300669,沪宁股份,个股
sz.300670,大烨智能,个股
sz.300671,富满微,个股
sz.300672,国科微,个股
sz.300673,佩蒂股份,个股
sz.300674,宇信科技,个股
sz.300675,建科院,个股
sz.300676,华大基因,个股
sz.300677,英科医疗,个股
sz.300678,中科信息,个股
sz.300679,电连技术,个股
sz.300680,隆盛科技,个股
sz.300681,英搏尔,个股
sz.300682,朗新科技,个股
sz.300683,海特生物,个股
sz.300684,中石科技,个股
sz.300685,艾德生物,个股
sz.300686,智动力,个股
sz.300687,赛意信息,个股
sz.300688,创业黑马,个股
sz.300689,澄天伟业,个股
sz.300690,双一科技,个股
sz.300691,联合光电,个股
sz.300692,中赋科技,个股
sz.300693,盛弘股份,个股
sz.300694,蠡湖股份,个股
sz.300695,兆丰股份,个股
sz.300696,爱乐达,个股
sz.300697,电工合金,个股
sz.300698,万马科技,个股
sz.300699,光威复材,个股
sz.300700,岱勒新材,个股
sz.300701,森霸传感,个股
sz.300702,天宇股份,个股
sz.300703,创源股份,个股
sz.300705,九典制药,个股
sz.300706,阿石创,个股
sz.300707,威唐工业,个股
sz.300708,聚灿光电,个股
sz.300709,精研科技,个股
sz.300710,万隆光电,个股
sz.300711,广哈通信,个股
sz.300712,永福股份,个股
sz.300713,英可瑞,个股
sz.300715,凯伦股份,个股
sz.300716,*ST泉为,个股
sz.300717,华信新材,个股
sz.300718,长盛轴承,个股
sz.300719,安达维尔,个股
sz.300720,海川智能,个股
sz.300721,怡达股份,个股
sz.300722,新余国科,个股
sz.300723,一品红,个股
sz.300724,捷佳伟创,个股
sz.300725,药石科技,个股
sz.300726,宏达电子,个股
sz.300727,润禾材料,个股
sz.300729,乐歌股份,个股
sz.300730,科创信息,个股
sz.300731,科创新源,个股
sz.300732,设研院,个股
sz.300733,西菱动力,个股
sz.300735,光弘科技,个股
sz.300736,百邦科技,个股
sz.300737,科顺股份,个股
sz.300738,奥飞数据,个股
sz.300739,明阳电路,个股
sz.300740,水羊股份,个股
sz.300741,华宝股份,个股
sz.300743,天地数码,个股
sz.300745,欣锐科技,个股
sz.300746,汉嘉数智,个股
sz.300747,锐科激光,个股
sz.300748,金力永磁,个股
sz.300749,顶固集创,个股
sz.300750,宁德时代,个股
sz.300751,迈为股份,个股
sz.300752,隆利科技,个股
sz.300753,爱朋医疗,个股
sz.300755,华致酒行,个股
sz.300756,金马游乐,个股
sz.300757,罗博特科,个股
sz.300758,七彩化学,个股
sz.300759,康龙化成,个股
sz.300760,迈瑞医疗,个股
sz.300761,立华股份,个股
sz.300762,上海瀚讯,个股
sz.300763,锦浪科技,个股
sz.300765,石药创新,个股
sz.300766,每日互动,个股
sz.300767,震安科技,个股
sz.300768,迪普科技,个股
sz.300769,德方纳米,个股
sz.300770,新媒股份,个股
sz.300771,智莱科技,个股
sz.300772,运达股份,个股
sz.300773,拉卡拉,个股
sz.300774,倍杰特,个股
sz.300775,三角防务,个股
sz.300776,帝尔激光,个股
sz.300777,中简科技,个股
sz.300778,新城市,个股
sz.300779,惠城环保,个股
sz.300780,德恩精工,个股
sz.300781,因赛集团,个股
sz.300782,卓胜微,个股
sz.300783,三只松鼠,个股
sz.300784,利安科技,个股
sz.300785,值得买,个股
sz.300786,国林科技,个股
sz.300787,海能实业,个股
sz.300788,中信出版,个股
sz.300789,唐源电气,个股
sz.300790,宇瞳光学,个股
sz.300791,仙乐健康,个股
sz.300792,壹网壹创,个股
sz.300793,佳禾智能,个股
sz.300795,米奥会展,个股
sz.300796,贝斯美,个股
sz.300797,钢研纳克,个股
sz.300798,锦鸡股份,个股
sz.300800,力合科技,个股
sz.300801,泰和科技,个股
sz.300802,矩子科技,个股
sz.300803,指南针,个股
sz.300804,广康生化,个股
sz.300805,电声股份,个股
sz.300806,斯迪克,个股
sz.300807,天迈科技,个股
sz.300808,久量股份,个股
sz.300809,华辰装备,个股
sz.300810,中科海讯,个股
sz.300811,铂科新材,个股
sz.300812,易天股份,个股
sz.300813,泰林生物,个股
sz.300814,中富电路,个股
sz.300815,玉禾田,个股
sz.300816,艾可蓝,个股
sz.300817,双飞集团,个股
sz.300818,耐普矿机,个股
sz.300819,聚杰微纤,个股
sz.300820,英杰电气,个股
sz.300821,东岳硅材,个股
sz.300822,贝仕达克,个股
sz.300823,建科智能,个股
sz.300824,北鼎股份,个股
sz.300825,阿尔特,个股
sz.300826,测绘股份,个股
sz.300827,上能电气,个股
sz.300828,锐新科技,个股
sz.300829,金丹科技,个股
sz.300830,金现代,个股
sz.300831,ST派瑞,个股
sz.300832,新产业,个股
sz.300833,浩洋股份,个股
sz.300834,星辉环材,个股
sz.300835,龙磁科技,个股
sz.300836,佰奥智能,个股
sz.300837,浙矿股份,个股
sz.300838,浙江力诺,个股
sz.300839,博汇股份,个股
sz.300840,酷特智能,个股
sz.300841,康华生物,个股
sz.300842,帝科股份,个股
sz.300843,胜蓝股份,个股
sz.300844,山水比德,个股
sz.300845,捷安高科,个股
sz.300846,首都在线,个股
sz.300847,中船汉光,个股
sz.300848,美瑞新材,个股
sz.300849,锦盛新材,个股
sz.300850,新强联,个股
sz.300851,交大思诺,个股
sz.300852,四会富仕,个股
sz.300853,申昊科技,个股
sz.300854,中兰环保,个股
sz.300855,图南股份,个股
sz.300856,科思股份,个股
sz.300857,协创数据,个股
sz.300858,科拓生物,个股
sz.300859,西域旅游,个股
sz.300860,锋尚文化,个股
sz.300861,美畅股份,个股
sz.300862,蓝盾光电,个股
sz.300863,卡倍亿,个股
sz.300864,南大环境,个股
sz.300865,大宏立,个股
sz.300866,安克创新,个股
sz.300867,圣元环保,个股
sz.300868,杰美特,个股
sz.300869,康泰医学,个股
sz.300870,欧陆通,个股
sz.300871,回盛生物,个股
sz.300872,天阳科技,个股
sz.300873,海晨股份,个股
sz.300875,捷强装备,个股
sz.300876,蒙泰高新,个股
sz.300877,金春股份,个股
sz.300878,维康药业,个股
sz.300879,大叶股份,个股
sz.300880,迦南智能,个股
sz.300881,盛德鑫泰,个股
sz.300882,万胜智能,个股
sz.300883,龙利得,个股
sz.300884,狄耐克,个股
sz.300885,海昌新材,个股
sz.300886,华业香料,个股
sz.300887,谱尼测试,个股
sz.300888,稳健医疗,个股
sz.300889,爱克股份,个股
sz.300890,翔丰华,个股
sz.300891,惠云钛业,个股
sz.300892,品渥食品,个股
sz.300893,松原安全,个股
sz.300894,火星人,个股
sz.300895,铜牛信息,个股
sz.300896,爱美客,个股
sz.300897,山科智能,个股
sz.300898,熊猫乳品,个股
sz.300899,上海凯鑫,个股
sz.300900,广联航空,个股
sz.300901,中胤时尚,个股
sz.300902,国安达,个股
sz.300903,科翔股份,个股
sz.300904,威力传动,个股
sz.300905,宝丽迪,个股
sz.300906,日月明,个股
sz.300907,康平科技,个股
sz.300908,仲景食品,个股
sz.300909,汇创达,个股
sz.300910,瑞丰新材,个股
sz.300911,亿田智能,个股
sz.300912,凯龙高科,个股
sz.300913,兆龙互连,个股
sz.300915,海融科技,个股
sz.300916,朗特智能,个股
sz.300917,特发服务,个股
sz.300918,南山智尚,个股
sz.300919,中伟新材,个股
sz.300920,润阳科技,个股
sz.300921,南凌科技,个股
sz.300922,天秦装备,个股
sz.300923,研奥股份,个股
sz.300925,法本信息,个股
sz.300926,博俊科技,个股
sz.300927,江天化学,个股
sz.300928,华安鑫创,个股
sz.300929,华骐环保,个股
sz.300930,屹通新材,个股
sz.300931,通用电梯,个股
sz.300932,三友联众,个股
sz.300933,中辰股份,个股
sz.300935,盈建科,个股
sz.300936,中英科技,个股
sz.300937,药易购,个股
sz.300938,信测标准,个股
sz.300939,秋田微,个股
sz.300940,南极光,个股
sz.300941,创识科技,个股
sz.300942,易瑞生物,个股
sz.300943,春晖智控,个股
sz.300945,曼卡龙,个股
sz.300946,恒而达,个股
sz.300947,德必集团,个股
sz.300948,冠中生态,个股
sz.300949,奥雅股份,个股
sz.300950,德固特,个股
sz.300951,博硕科技,个股
sz.300952,恒辉安防,个股
sz.300953,震裕科技,个股
sz.300955,嘉亨家化,个股
sz.300956,英力股份,个股
sz.300957,贝泰妮,个股
sz.300958,建工修复,个股
sz.300959,线上线下,个股
sz.300960,通业科技,个股
sz.300961,深水海纳,个股
sz.300962,中金辐照,个股
sz.300963,中洲特材,个股
sz.300964,本川智能,个股
sz.300965,恒宇信通,个股
sz.300966,共同药业,个股
sz.300967,晓鸣股份,个股
sz.300968,格林精密,个股
sz.300969,恒帅股份,个股
sz.300970,华绿生物,个股
sz.300971,博亚精工,个股
sz.300972,万辰集团,个股
sz.300973,立高食品,个股
sz.300975,商络电子,个股
sz.300976,达瑞电子,个股
sz.300977,深圳瑞捷,个股
sz.300978,东箭科技,个股
sz.300979,华利集团,个股
sz.300980,祥源新材,个股
sz.300981,中红医疗,个股
sz.300982,苏文电能,个股
sz.300983,尤安设计,个股
sz.300984,金沃股份,个股
sz.300985,致远新能,个股
sz.300986,志特新材,个股
sz.300987,川网传媒,个股
sz.300988,津荣天宇,个股
sz.300989,蕾奥规划,个股
sz.300990,同飞股份,个股
sz.300991,创益通,个股
sz.300992,泰福泵业,个股
sz.300993,玉马科技,个股
sz.300994,久祺股份,个股
sz.300995,奇德新材,个股
sz.300996,普联软件,个股
sz.300997,欢乐家,个股
sz.300998,宁波方正,个股
sz.300999,金龙鱼,个股
sz.301000,肇民科技,个股
sz.301001,凯淳股份,个股
sz.301002,崧盛股份,个股
sz.301003,江苏博云,个股
sz.301004,嘉益股份,个股
sz.301005,超捷股份,个股
sz.301006,迈拓股份,个股
sz.301007,德迈仕,个股
sz.301008,宏昌科技,个股
sz.301009,可靠股份,个股
sz.301010,晶雪节能,个股
sz.301011,华立科技,个股
sz.301012,扬电科技,个股
sz.301013,利和兴,个股
sz.301015,百洋医药,个股
sz.301016,雷尔伟,个股
sz.301017,漱玉平民,个股
sz.301018,申菱环境,个股
sz.301019,宁波色母,个股
sz.301020,密封科技,个股
sz.301021,英诺激光,个股
sz.301022,海泰科,个股
sz.301023,奕帆传动,个股
sz.301024,霍普股份,个股
sz.301025,读客文化,个股
sz.301026,浩通科技,个股
sz.301027,华蓝集团,个股
sz.301028,鼎熔岩,个股
sz.301029,怡合达,个股
sz.301030,*ST仕净,个股
sz.301031,中熔电气,个股
sz.301032,新柴股份,个股
sz.301033,迈普医学,个股
sz.301035,润丰股份,个股
sz.301036,双乐股份,个股
sz.301037,保立佳,个股
sz.301038,深水规院,个股
sz.301039,中集车辆,个股
sz.301040,中环海陆,个股
sz.301041,金百泽,个股
sz.301042,安联锐视,个股
sz.301043,绿岛风,个股
sz.301045,天禄科技,个股
sz.301046,能辉科技,个股
sz.301047,义翘神州,个股
sz.301048,金鹰重工,个股
sz.301049,超越科技,个股
sz.301050,雷电微力,个股
sz.301051,信濠光电,个股
sz.301052,果麦文化,个股
sz.301053,远信工业,个股
sz.301055,张小泉,个股
sz.301056,森赫股份,个股
sz.301057,汇隆新材,个股
